outcome,consec_coding,n_appearances,beta3,se,t,p_value
release_speed,consec_day,18824,0.031769652835647706,0.034239987924763876,0.9278523376075868,0.35426111536278526
pfx_x,consec_day,18824,-0.006049939039677348,0.006007176274473752,-1.0071186133467245,0.31472317465731137
pfx_z,consec_day,18824,0.005221352897617455,0.004680440320301816,1.1155687371911107,0.2655367393519632
xBAA,consec_day,16370,0.0004973464431471632,0.005798444784735751,0.08577238580531357,0.9317069563487179
